Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Going in Style,2500,1419,848,233,0.7179176755
Rings,2500,1118,908,474,0.4045226131
Lady Bird,2500,1218,900,382,0.5225
The Nut Job 2: Nutty by Nature,2188,800,1246,142,0.6985138004
American Assassin,2500,967,1181,352,0.4662623199
Victoria & Abdul,2500,1430,883,187,0.768707483
The Mountain Between Us,2500,989,1207,304,0.5297757154
The Star,2500,1101,774,625,0.2757821553
How to Be a Latin Lover,2500,2096,348,56,0.9479553903
47 Meters Down,2500,736,1022,742,-0.004059539919
Snatched,2500,926,1100,474,0.3228571429
My Little Pony: The Movie,2500,1489,920,91,0.8848101266
Molly's Game,2500,1225,946,329,0.5765765766
All the Money in the World,2500,1084,952,464,0.4005167959
The Big Sick,2500,899,159,1442,-0.2319521572
All Eyez on Me,2500,954,1053,493,0.3185901866
Downsizing,2500,1021,798,681,0.1997649824
Logan Lucky,2500,1984,359,157,0.853339561
Boo 2! A Madea Halloween,2500,1037,1110,353,0.4920863309
Phantom Thread,2500,1071,887,542,0.3279603224
Rough Night,2500,1057,1007,436,0.4159410583
Flatliners,2500,938,829,733,0.1226810293
Mother!,2500,998,754,748,0.1431844215
Wind River,2500,908,1088,504,0.2861189802
The Snowman,2500,939,877,684,0.157116451
Gifted,2500,1354,731,415,0.5308083663
Loving Vincent,2500,1816,530,154,0.8436548223
Call Me by Your Name,2500,1157,857,486,0.4083992696
Fist Fight,2500,882,398,1220,-0.1607992388
The Circle,2500,960,1067,473,0.3398464759
Diary of a Wimpy Kid: The Long Haul,2500,1353,37,1110,0.09866017052
Home Again,2500,1121,901,478,0.402126329
Hostiles,2500,573,248,1679,-0.4911190053
Kidnap,2500,684,678,1138,-0.2491767289
The House,2500,880,944,676,0.1311053985
Sleepless,2500,868,1162,470,0.2974588939
The Bye Bye Man,2500,672,1080,748,-0.05352112676
The Disaster Artist,2500,465,92,1943,-0.6137873754
The Beguiled,2500,1012,1135,353,0.4827838828
CHIPS,2500,1149,943,408,0.4759152216
A Cure for Wellness,2500,2088,90,322,0.732780083
Only the Brave,2500,2011,284,205,0.8149819495
The Zookeeper's Wife,2500,682,1530,288,0.406185567
Father Figures,2500,1080,1018,402,0.4574898785
The Death of Stalin,2500,532,156,1812,-0.5460750853
Wish Upon,2500,1729,220,551,0.5166666667
Detroit,2500,733,1260,507,0.1822580645
