Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
The Girl in the Spider's Web,2500,859,1282,359,0.4105090312
The Hate U Give,2500,537,62,1901,-0.5594749795
Nobody's Fool,2500,790,347,1363,-0.2661402694
The Hurricane Heist,1875,634,770,471,0.1475113122
Bad Times at the El Royale,2500,697,110,1693,-0.4167364017
Hunter Killer,2500,912,355,1233,-0.1496503497
Super Troopers 2,2500,2337,69,94,0.9226655697
The Strangers: Prey at Night,2500,836,1023,641,0.1320243737
Free Solo,2500,1990,306,204,0.8140382862
The Happytime Murders,2500,382,106,2012,-0.6808688388
Midnight Sun,2500,1353,642,505,0.4564047363
White Boy Rick,2500,852,1176,472,0.2870090634
Stan & Ollie,243,161,40,42,0.5862068966
Padmaavat,2500,1260,709,531,0.4070351759
