moviename,release_date,budget,crore conversion,Currency conversion,year,cleaned_budget,cleaned_release_date,cleaned_budget_2,final_budget
Turbo,"
July 17, 2013 (2013-07-17) (United States)[3]
",$127 million,1,1,2013,127000000,7/17/2013,127000000,127000000
Cloudy with a Chance of Meatballs 2,"
September 27, 2013 (2013-09-27)
",$78 million,1,1,2013,78000000,9/27/2013,78000000,78000000
The Lone Ranger,"
June 22, 2013 (2013-06-22) (Hyperion Theatre)
July 3, 2013 (2013-07-03) (United States)
",$225–250 million,1,1,2013,250000000,7/3/2013,250000000,250000000
American Hustle,"
December 8, 2013 (2013-12-08) (Ziegfeld Theatre)
December 13, 2013 (2013-12-13) (United States)
",$40 million,1,1,2013,40000000,12/13/2013,40000000,40000000
Grown Ups 2,"
July 12, 2013 (2013-07-12)
",$80 million,1,1,2013,80000000,7/12/2013,80000000,80000000
After Earth,"
May 1, 2013 (2013-05-01) (Tokyo)
May 31, 2013 (2013-05-31) (United States)
",$130 million,1,1,2013,130000000,5/31/2013,130000000,130000000
Planes,"
July 15, 2014 (2014-07-15) (El Capitan Theatre)
July 18, 2014 (2014-07-18) (United States)
",$50 million,1,1,2014,50000000,7/18/2014,50000000,50000000
Captain Phillips,"
September 27, 2013 (2013-09-27) (NYFF)
October 11, 2013 (2013-10-11) (United States)
",$55 million,1,1,2013,55000000,10/11/2013,55000000,55000000
White House Down,"
June 28, 2013 (2013-06-28)
",$150 million,1,1,2013,150000000,6/28/2013,150000000,150000000
Percy Jackson: Sea of Monsters,"
August 7, 2013 (2013-08-07)
",$90 million,1,1,2013,90000000,8/7/2013,90000000,90000000
Jack the Giant Slayer,"
February 26, 2013 (2013-02-26) (Hollywood)
March 1, 2013 (2013-03-01) (United States)
",$185–200 million,1,1,2013,200000000,3/1/2013,200000000,200000000
The Secret Life of Walter Mitty,"
October 5, 2013 (2013-10-05) (NYFF)
December 25, 2013 (2013-12-25) (United States)
",$90 million,1,1,2013,90000000,12/25/2013,90000000,90000000
12 Years a Slave,"
August 30, 2013 (2013-08-30) (Telluride Film Festival)
November 8, 2013 (2013-11-08) (United States)
January 10, 2014 (2014-01-10) (United Kingdom)
",$20–22 million,1,1,2013,22000000,1/10/2014,22000000,22000000
Lee Daniels' The Butler,"
August 16, 2013 (2013-08-16)
",$30 million,1,1,2013,30000000,8/16/2013,30000000,30000000
Identity Thief,"
February 8, 2013 (2013-02-08)
",$35 million,1,1,2013,35000000,2/8/2013,35000000,35000000
Olympus Has Fallen,"
March 18, 2013 (2013-03-18) (Hollywood)
March 22, 2013 (2013-03-22) (United States)
",$70 million,1,1,2013,70000000,3/22/2013,70000000,70000000
Insidious: Chapter 2,"
September 13, 2013 (2013-09-13)[3]
",$5 million,1,1,2013,5000000,9/13/2013,5000000,5000000
Lone Survivor,"
November 12, 2013 (2013-11-12) (AFI Film Festival)
December 25, 2013 (2013-12-25) (United States)
January 10, 2014 (2014-01-10) (North America)
",$40 million,1,1,2013,40000000,1/10/2014,40000000,40000000
Jackass Presents: Bad Grandpa,"
October 25, 2013 (2013-10-25)
",$15 million,1,1,2013,15000000,10/25/2013,15000000,15000000
47 Ronin,"
December 6, 2013 (2013-12-06) (Japan)
December 25, 2013 (2013-12-25) (United States)
",$175–225 million,1,1,2013,225000000,12/25/2013,225000000,225000000
RED 2,"
July 19, 2013 (2013-07-19)
",$84 million,1,1,2013,84000000,7/19/2013,84000000,84000000
2 Guns,"
July 30, 2013 (2013-07-30) (New York City)
August 2, 2013 (2013-08-02) (United States)
",$61 million,1,1,2013,61000000,8/2/2013,61000000,61000000
This Is the End,"
June 3, 2013 (2013-06-03) (Fox Village Theater)
June 12, 2013 (2013-06-12) (United States)
[1]",$32–41.9 million,1,1,2013,41900000,6/12/2013,41900000,41900000
Ender's Game,"
October 24, 2013 (2013-10-24) (Germany)
November 1, 2013 (2013-11-01) (United States)
",$110–115 million,1,1,2013,115000000,11/1/2013,115000000,115000000
Prisoners,"
August 30, 2013 (2013-08-30) (Telluride Film Festival)
September 20, 2013 (2013-09-20) (United States)
",$46 million,1,1,2013,46000000,9/20/2013,46000000,46000000
Warm Bodies,"
January 16, 2013 (2013-01-16) (Rome premiere)
February 1, 2013 (2013-02-01)
",$35 million,1,1,2013,35000000,2/1/2013,35000000,35000000
Free Birds,"
November 1, 2013 (2013-11-01)
",$55 million,1,1,2013,55000000,11/1/2013,55000000,55000000
Gangster Squad,"
January 7, 2013 (2013-01-07) (Grauman's Chinese Theatre)
January 11, 2013 (2013-01-11) (United States)
",$60–75 million,1,1,2013,75000000,1/11/2013,75000000,75000000
Philomena,"
31 August 2013 (2013-08-31) (Venice)
1 November 2013 (2013-11-01) (United Kingdom)
",$12 million,1,1,2013,12000000,11/1/2013,12000000,12000000
Blue Jasmine,"
July 26, 2013 (2013-07-26) (New York City premiere)
August 23, 2013 (2013-08-23) (United States)
",$18 million,1,1,2013,18000000,8/23/2013,18000000,18000000
Riddick,"
September 4, 2013 (2013-09-04) (United Kingdom)
September 6, 2013 (2013-09-06) (United States)
",$38 million,1,1,2013,38000000,9/6/2013,38000000,38000000
Evil Dead,"
March 8, 2013 (2013-03-08) (SXSW)
April 5, 2013 (2013-04-05) (United States)
",$17 million,1,1,2013,17000000,4/5/2013,17000000,17000000
42,"
April 12, 2013 (2013-04-12) (United States)
",$31-40 million,1,1,2013,40000000,4/12/2013,40000000,40000000
The Mortal Instruments: City of Bones,"
August 12, 2013 (2013-08-12) (Cinerama Dome)
August 21, 2013 (2013-08-21)
",$60 million,1,1,2013,60000000,8/21/2013,60000000,60000000
Police Story: Lockdown,"
24 December 2013 (2013-12-24) (China)
16 January 2014 (2014-01-16) (Hong Kong[1])
",US$35 million,1,1,2013,35000000,1/16/2014,35000000,35000000
The Internship,"
June 7, 2013 (2013-06-07)
",$58 million,1,1,2013,58000000,6/7/2013,58000000,58000000
Dhoom 3,"
20 December 2013 (2013-12-20)
",₹175 crore,10000000,0.013,2013,175,12/20/2013,175,22750000
About Time,"
27 June 2013 (2013-06-27) (EIFF)
4 September 2013 (2013-09-04) (United Kingdom)
",$12 million,1,1,2013,12000000,9/4/2013,12000000,12000000
Snowpiercer,"
29 July 2013 (2013-07-29) (Times Square)
1 August 2013 (2013-08-01) (South Korea)
",$40 million,1,1,2013,40000000,8/1/2013,40000000,40000000
Carrie,"
October 7, 2013 (2013-10-07) (Arclight Hollywood)
October 18, 2013 (2013-10-18) (United States)
",$30 million,1,1,2013,30000000,10/18/2013,30000000,30000000
Finding Mr. Right,"
14 February 2013 (2013-02-14) (Hong Kong)
21 March 2013 (2013-03-21) (China)
",¥30 million yuan (US$5 million),1,1,2013,5000000,3/21/2013,5000000,5000000
Scary Movie V,"
April 12, 2013 (2013-04-12)
",$20 million,1,1,2013,20000000,4/12/2013,20000000,20000000
R.I.P.D.,"
July 17, 2013 (2013-07-17) (Iceland)
July 19, 2013 (2013-07-19) (United States)
",$130-154 million,1,1,2013,154000000,7/19/2013,154000000,154000000
Suck Me Shakespeer,"
29 October 2013 (2013-10-29)
",€5 million,1,1.08,2017,5000000,10/29/2013,5000000,5400000
Escape from Planet Earth,"
February 15, 2013 (2013-02-15)
",$40 million,1,1,2013,40000000,2/15/2013,40000000,40000000
August: Osage County,"
September 9, 2013 (2013-09-09) (TIFF)
December 27, 2013 (2013-12-27) (United States)
",$25 million,1,1,2013,25000000,12/27/2013,25000000,25000000
The Best Man Holiday,"
November 15, 2013 (2013-11-15)
",$17 million,1,1,2013,17000000,11/15/2013,17000000,17000000
The Counselor,"
October 3, 2013 (2013-10-03) (Leicester Square)
October 25, 2013 (2013-10-25) (United States)
November 15, 2013 (2013-11-15) (United Kingdom)
",$25 million,1,1,2013,25000000,11/15/2013,25000000,25000000
One Direction: This Is Us,"
29 August 2013 (2013-08-29) (United Kingdom)
30 August 2013 (2013-08-30) (United States)
",$10 million,1,1,2013,10000000,8/30/2013,10000000,10000000
Stalingrad,"
27 September 2013 (2013-09-27) (Volgograd)
10 October 2013 (2013-10-10) (Russia)[1]
31 October 2013 (2013-10-31) (China)
21 February 2014 (2014-02-21) (UK)
28 February 2014 (2014-02-28) (US)
",$30 million,1,1,2013,30000000,2/28/2014,30000000,30000000
Thunder and the House of Magic,"
25 December 2013 (2013-12-25)
",$34 million,1,1,2013,34000000,12/25/2013,34000000,34000000
The Grandmaster,"
8 January 2013 (2013-01-08) (China)
10 January 2013 (2013-01-10) (Hong Kong)
",¥240 million (US$38.6 million),1,1,2013,38600000,1/10/2013,38600000,38600000
Side Effects,"
February 8, 2013 (2013-02-08) (United States)
",$30 million,1,1,2013,30000000,2/8/2013,30000000,30000000
The Host,"
March 29, 2013 (2013-03-29)
",$40 million,1,1,2013,40000000,3/29/2013,40000000,40000000
Runner Runner,"
September 18, 2013 (2013-09-18) (Las Vegas)
October 4, 2013 (2013-10-04) (United States)
",$30 million,1,1,2013,30000000,10/4/2013,30000000,30000000
The Legend of Hercules,"
January 10, 2014 (2014-01-10) (United States)
",$70 million,1,1,2013,70000000,1/10/2014,70000000,70000000
Kick-Ass 2,"
14 August 2013 (2013-08-14) (United Kingdom)
16 August 2013 (2013-08-16) (United States)
",$28 million,1,1,2013,28000000,8/16/2013,28000000,28000000
A Haunted House,"
April 18, 2014 (2014-04-18)
",$4 million,1,1,2014,4000000,4/18/2014,4000000,4000000
Beautiful Creatures,"
January 19, 2013 (2013-01-19) (Moscow)
February 14, 2013 (2013-02-14) (United States)
",$50–60 million,1,1,2013,60000000,2/14/2013,60000000,60000000
The Physician,"
25 December 2013 (2013-12-25)
 (Germany)",$32 million,1,1,2013,32000000,12/25/2013,32000000,32000000
Firestorm,"
12 December 2013 (2013-12-12) (China)
19 December 2013 (2013-12-19) (Hong Kong)
","US$20,000,000",1,1,2013,20000000,12/19/2013,20000000,20000000
Dallas Buyers Club,"
September 7, 2013 (2013-09-07) (TIFF)
November 1, 2013 (2013-11-01) (United States)
",$5 million,1,1,2013,5000000,11/1/2013,5000000,5000000
Delivery Man,"
November 22, 2013 (2013-11-22) (United States)
",$26 million,1,1,2013,26000000,11/22/2013,26000000,26000000
The Berlin File,"
January 31, 2013 (2013-01-31)
",US$9 million,1,1,2013,9000000,1/31/2013,9000000,9000000
Homefront,"
November 27, 2013 (2013-11-27) (United States)
",$22 million,1,1,2013,22000000,11/27/2013,22000000,22000000
The Last Stand,"
January 18, 2013 (2013-01-18)
",$45 million,1,1,2013,45000000,1/18/2013,45000000,45000000
The Place Beyond the Pines,"
September 7, 2012 (2012-09-07) (TIFF)
March 29, 2013 (2013-03-29) (United States)
",$15 million,1,1,2013,15000000,3/29/2013,15000000,15000000
Parker,"
January 24, 2013 (2013-01-24) (Las Vegas)
January 25, 2013 (2013-01-25) (United States)
",$31–35 million,1,1,2013,35000000,1/25/2013,35000000,35000000
The Big Wedding,"
April 26, 2013 (2013-04-26)
",$35 million,1,1,2013,35000000,4/26/2013,35000000,35000000
The World's End,"
10 July 2013 (2013-07-10) (Leicester Square)
19 July 2013 (2013-07-19) (United Kingdom)
23 August 2013 (2013-08-23) (United States)
",$20 million,1,1,2013,20000000,8/23/2013,20000000,20000000
Grudge Match,"
December 25, 2013 (2013-12-25)
",$40 million,1,1,2013,40000000,12/25/2013,40000000,40000000
The White Storm,"
25 October 2013 (2013-10-25) (Hong Kong Asian Film Festival)
29 November 2013 (2013-11-29) (China)
5 December 2013 (2013-12-05) (Hong Kong)
","US$16,000,000",1,1,2019,16000000,12/5/2013,16000000,16000000
Tarzan,"
June 27, 2016 (2016-06-27) (Dolby Theatre)
July 1, 2016 (2016-07-01) (United States)
July 6, 2016 (2016-07-06) (United Kingdom)
July 7, 2016 (2016-07-07) (Australia)
",$180 million,1,1,2016,180000000,7/7/2016,180000000,180000000
No Man's Land,"
December 3, 2013 (2013-12-03)
",CN¥20 million,1,0.153808,2013,20000000,12/3/2013,20000000,3076160
Don Jon,"
January 18, 2013 (2013-01-18) (Sundance)
September 27, 2013 (2013-09-27) (United States)
",$7.5 million,1,1,2013,7500000,9/27/2013,7500000,7500000
Cold Eyes,"
July 3, 2013 (2013-07-03)
",US$4.5 million,1,1,2013,4500000,7/3/2013,4500000,4500000
The Terror Live,"
July 28, 2013 (2013-07-28) (PiFan)
July 31, 2013 (2013-07-31) (South Korea)
",US$3.12 million,1,1,2013,3120000,7/31/2013,3120000,3120000
Hide and Seek,"
August 14, 2013 (2013-08-14)
",₩2.5 billion,1,0.0008,2013,500000000,8/14/2013,250000000,200000
Blind Detective,"
19 May 2013 (2013-05-19) (Cannes Film Festival)[1]
4 July 2013 (2013-07-04) (Hong Kong and China)
","HK$85,000,000 (US$10.9 Million)",1,1,2013,10900000,7/4/2013,10.9,10.9
Broken City,"
January 18, 2013 (2013-01-18)
",$35–56.8 million,1,1,2013,56800000,1/18/2013,56800000,56800000
Inside Llewyn Davis,"
May 19, 2013 (2013-05-19) (Cannes)
November 6, 2013 (2013-11-06) (France)
December 6, 2013 (2013-12-06) (United States)
January 24, 2014 (2014-01-24) (United Kingdom)
",$11 million,1,1,2013,11000000,1/24/2014,11000000,11000000
Mud,"
May 26, 2012 (2012-05-26) (Cannes)
April 26, 2013 (2013-04-26) (United States)
",$10 million,1,1,2013,10000000,4/26/2013,10000000,10000000
Kevin Hart: Let Me Explain,"
June 22, 2013 (2013-06-22) (American Black Film Festival)
July 3, 2013 (2013-07-03) (United States)
",$2.5 million,1,1,2013,2500000,7/3/2013,2500000,2500000
Underdogs,"
July 18, 2013 (2013-07-18) (Argentina)
",$21 million,1,1,2013,21000000,7/18/2013,21000000,21000000
Spring Breakers,"
September 4, 2012 (2012-09-04) (Venice)
March 22, 2013 (2013-03-22) (United States)[1]
",$5 million,1,1,2013,5000000,3/22/2013,5000000,5000000
The Suspect,"
December 24, 2013 (2013-12-24)
",~US$9.5 million,1,1,2013,5000000,12/24/2013,9500000,9500000
The Four 2,"
August 4, 2015 (2015-08-04) (New York City)
August 7, 2015 (2015-08-07) (United States)
",$120 million,1,1,2013,120000000,8/7/2015,120000000,120000000
I Give It a Year,"
8 February 2013 (2013-02-08) (United Kingdom)
",€12.7 million,1,1.08,2013,7000000,2/8/2013,12700000,13716000
Mandela: Long Walk to Freedom,"
7 September 2013 (2013-09-07) (TIFF)
28 November 2013 (2013-11-28) (South Africa)
3 January 2014 (2014-01-03) (United Kingdom)
",$35 million,1,1,2013,35000000,1/3/2014,35000000,35000000
Dark Skies,"
February 22, 2013 (2013-02-22) (United States)
",$3.5 million,1,1,2013,5000000,2/22/2013,3500000,3500000
Nebraska,"
May 23, 2013 (2013-05-23) (Cannes)
November 15, 2013 (2013-11-15) (United States)
",$13.5 million,1,1,2013,5000000,11/15/2013,13500000,13500000
The Incredible Burt Wonderstone,"
March 8, 2013 (2013-03-08) (SXSW[1])
March 15, 2013 (2013-03-15) (United States)
",$34 million,1,1,2013,34000000,3/15/2013,34000000,34000000
Khumba,"
8 September 2013 (2013-09-08) (TIFF)
25 October 2013 (2013-10-25) (South Africa)
",$20 million,1,1,2013,20000000,10/25/2013,20000000,20000000
You're Next,"
September 10, 2011 (2011-09-10) (TIFF)
August 23, 2013 (2013-08-23) (United States)
",$1 million,1,1,2013,1000000,8/23/2013,1000000,1000000
The Way Way Back,"
January 21, 2013 (2013-01-21) (Sundance)
July 5, 2013 (2013-07-05) (United States)
",$5 million,1,1,2013,5000000,7/5/2013,5000000,5000000
Enough Said,"
September 7, 2013 (2013-09-07) (TIFF)
September 18, 2013 (2013-09-18) (United States)
",$8 million,1,1,2013,8000000,9/18/2013,8000000,8000000
The Last Exorcism Part II,"
February 28, 2013 (2013-02-28) (Russia)
March 1, 2013 (2013-03-01) (United States)
",$5 million,1,1,2013,5000000,3/1/2013,5000000,5000000
The Tale of The Princess Kaguya,"
23 November 2013 (2013-11-23)
",¥5 billion ($49 million),1,1,2013,49000000,11/23/2013,49000000,49000000
Trance,"
19 March 2013 (2013-03-19) (London premiere)
27 March 2013 (2013-03-27) (United Kingdom)
5 April 2013 (2013-04-05) (United States)
8 May 2013 (2013-05-08) (France)
",$20 million,1,1,2013,20000000,5/8/2013,20000000,20000000
The Railway Man,"
6 September 2013 (2013-09-06) (TIFF)
26 December 2013 (2013-12-26) (Australia)
10 January 2014 (2014-01-10) (United Kingdom)
",$18 million,1,1,2013,18000000,1/10/2014,18000000,18000000
Out of Inferno,"
30 September 2013 (2013-09-30) (China)
3 October 2013 (2013-10-03) (Hong Kong)
",HK$150 million (US$19 million),1,1,2013,19000000,10/3/2013,19000000,19000000
Baggage Claim,"
September 27, 2013 (2013-09-27)
",$8.5 million,1,1,2013,5000000,9/27/2013,8500000,8500000
Transformers: Age of Extinction,"
June 19, 2014 (2014-06-19) (Hong Kong)
June 27, 2014 (2014-06-27) (United States)
",$210 million,1,1,2014,210000000,6/27/2014,210000000,210000000
The Hobbit: The Battle of the Five Armies,"
1 December 2014 (2014-12-01) (London)
11 December 2014 (2014-12-11) (New Zealand)
17 December 2014 (2014-12-17) (United States)
",$250–300 million,1,1,2014,300000000,12/17/2014,300000000,300000000
X-Men: Days of Future Past,"
May 10, 2014 (2014-05-10) (Javits Center)
May 23, 2014 (2014-05-23) (United States)
",$200–220 million,1,1,2014,220000000,5/23/2014,220000000,220000000
Captain America: The Winter Soldier,"
March 13, 2014 (2014-03-13) (El Capitan Theatre)
April 4, 2014 (2014-04-04) (United States)
",$170–177 million,1,1,2014,177000000,4/4/2014,177000000,177000000
Dawn of the Planet of the Apes,"
June 26, 2014 (2014-06-26) (Palace of Fine Arts)
July 11, 2014 (2014-07-11) (United States)
",$170 million,1,1,2014,170000000,7/11/2014,170000000,170000000
Big Hero 6,"
October 23, 2014 (2014-10-23) (Tokyo International Film Festival)
October 31, 2014 (2014-10-31) (Abu Dhabi Film Festival)
November 7, 2014 (2014-11-07) (United States)
",$165 million,1,1,2014,165000000,11/7/2014,165000000,165000000
American Sniper,"
November 11, 2014 (2014-11-11) (AFI Fest)
December 25, 2014 (2014-12-25) (United States)
",$59 million,1,1,2014,59000000,12/25/2014,59000000,59000000
Rio 2,"
March 20, 2014 (2014-03-20) (International)
April 11, 2014 (2014-04-11) (United States)
",$103-130 million,1,1,2014,130000000,4/11/2014,130000000,130000000
Lucy,"
25 July 2014 (2014-07-25) (United States)[1]
6 August 2014 (2014-08-06) (France)[2]
",$39 million,1,1,2014,39000000,8/6/2014,39000000,39000000
Penguins of Madagascar,"
November 14, 2014 (2014-11-14) (China)
November 26, 2014 (2014-11-26) (United States)
",$132 million,1,1,2014,132000000,11/26/2014,132000000,132000000
Edge of Tomorrow,"
May 28, 2014 (2014-05-28) (London IMAX)
June 6, 2014 (2014-06-06) (United States)
",$178 million,1,1,2014,178000000,6/6/2014,178000000,178000000
Gone Girl,"
September 26, 2014 (2014-09-26) (NYFF)[1]
October 3, 2014 (2014-10-03) (United States)[1]
",$61 million,1,1,2014,61000000,10/3/2014,61000000,61000000
Night at the Museum: Secret of the Tomb,"
December 11, 2014 (2014-12-11) (Ziegfeld Theatre)
December 19, 2014 (2014-12-19) (United States)
",$127 million,1,1,2014,127000000,12/19/2014,127000000,127000000
Noah,"
March 10, 2014 (2014-03-10) (Mexico City premiere)
March 28, 2014 (2014-03-28) (United States)
",$125–160 million,1,1,2014,160000000,3/28/2014,160000000,160000000
300: Rise of an Empire,"
March 4, 2014 (2014-03-04) (TCL Chinese Theatre)[4]
March 7, 2014 (2014-03-07) (United States)
",$110 million,1,1,2014,110000000,3/7/2014,110000000,110000000
22 Jump Street,"
June 4, 2014 (2014-06-04) (New York City)
June 13, 2014 (2014-06-13) (United States)
",$50–84.5 million,1,1,2014,5000000,6/13/2014,84500000,84500000
The Fault in Our Stars,"
May 16, 2014 (2014-05-16) (SIFF)
June 6, 2014 (2014-06-06) (United States)
","
$12 million (gross)
$8.5 million (net)
",1,1,2014,5000000,6/6/2014,8500000,8500000
Paddington,"
28 November 2014 (2014-11-28)
",€38.5 million($65 million (gross)$54.7 million (net)),1,1,2017,7000000,11/28/2014,54700000,54700000
Exodus: Gods and Kings,"
December 12, 2014 (2014-12-12) (United States)
",$140 million,1,1,2014,140000000,12/12/2014,140000000,140000000
Annabelle,"
June 26, 2019 (2019-06-26)
",$27–$32 million,1,1,2019,32000000,6/26/2019,32000000,32000000
Hercules,"
July 25, 2014 (2014-07-25) (United States)
",$100 million,1,1,2014,100000000,7/25/2014,100000000,100000000
RoboCop,"
February 12, 2014 (2014-02-12) (United States)
",$100–130 million,1,1,2014,130000000,2/12/2014,130000000,130000000
The Imitation Game,"
August 29, 2014 (2014-08-29) (Telluride Film Festival)
November 28, 2014 (2014-11-28) (United States)
",$14 million,1,1,2014,14000000,11/28/2014,14000000,14000000
Non-Stop,"
January 27, 2014 (2014-01-27) (Paris)
February 26, 2014 (2014-02-26) (France)
February 28, 2014 (2014-02-28) (United States)
",$28–50 million,1,1,2014,50000000,2/28/2014,50000000,50000000
The Expendables 3,"
August 4, 2014 (2014-08-04) (London)
August 15, 2014 (2014-08-15) (United States)
",$90–100 million,1,1,2014,100000000,8/15/2014,100000000,100000000
Into the Woods,"
December 8, 2014 (2014-12-08) (Ziegfeld Theatre)
December 25, 2014 (2014-12-25) (United States)
",$50 million,1,1,2014,50000000,12/25/2014,50000000,50000000
Fury,"
22 May 2015 (2015-05-22) (Cannes)
28 May 2015 (2015-05-28) (El Rey Network)[1]
","US$630,019",1,1,2015,630019,5/28/2015,630019,630019
Need for Speed,"
March 7, 2014 (2014-03-07) (TCL Chinese Theatre)
March 14, 2014 (2014-03-14) (United States)
",$66 million,1,1,2014,66000000,3/14/2014,66000000,66000000
The Other Woman,"
March 31, 2014 (2014-03-31) (Amsterdam premiere)
April 25, 2014 (2014-04-25) (United States)
",$40 million,1,1,2014,40000000,4/25/2014,40000000,40000000
The Equalizer,"
July 20, 2018 (2018-07-20) (United States)
",$62–79 million,1,1,2018,79000000,7/20/2018,79000000,79000000
The Grand Budapest Hotel,"
February 6, 2014 (2014-02-06) (Berlin)
March 6, 2014 (2014-03-06) (Germany)
March 7, 2014 (2014-03-07) (United States)
",$25 million,1,1,2014,25000000,3/7/2014,25000000,25000000
Dumb and Dumber To,"
November 14, 2014 (2014-11-14) (United States)
",$50 million,1,1,2014,50000000,11/14/2014,50000000,50000000
Into the Storm,"
August 8, 2014 (2014-08-08) (United States)
",$50 million,1,1,2014,50000000,8/8/2014,50000000,50000000
The Monuments Men,"
February 7, 2014 (2014-02-07) (United States)
February 20, 2014 (2014-02-20) (Germany)
",$70–91 million,1,1,2014,91000000,2/20/2014,91000000,91000000
Planes: Fire & Rescue,"
July 15, 2014 (2014-07-15) (El Capitan Theatre)
July 18, 2014 (2014-07-18) (United States)
",$50 million,1,1,2014,50000000,7/18/2014,50000000,50000000
The Admiral: Roaring Currents,"
July 30, 2014 (2014-07-30)
",US$18.6 million,1,1,2014,6000000,7/30/2014,18600000,18600000
Let's Be Cops,"
August 13, 2014 (2014-08-13)
",$17 million,1,1,2014,17000000,8/13/2014,17000000,17000000
Annie,"
December 7, 2014 (2014-12-07) (Ziegfeld Theatre)
December 19, 2014 (2014-12-19) (United States)
",$65-78 million,1,1,2014,78000000,12/19/2014,78000000,78000000
Jack Ryan: Shadow Recruit,"
January 17, 2014 (2014-01-17) (United States)
",$60 million,1,1,2014,60000000,1/17/2014,60000000,60000000
Blended,"
May 23, 2014 (2014-05-23)
",$40-45 million,1,1,2014,45000000,5/23/2014,45000000,45000000
Sex Tape,"
July 18, 2014 (2014-07-18)
",$40 million,1,1,2014,40000000,7/18/2014,40000000,40000000
The Theory of Everything,"
7 September 2014 (2014-09-07) (TIFF)
7 November 2014 (2014-11-07) (United States)
1 January 2015 (2015-01-01) (United Kingdom)
",$15 million,1,1,2014,15000000,1/1/2015,15000000,15000000
The Nut Job,"
January 11, 2014 (2014-01-11) (Los Angeles)
January 17, 2014 (2014-01-17) (US & Canada)
January 29, 2014 (2014-01-29) (South Korea)
",$43 million,1,1,2017,43000000,1/29/2014,43000000,43000000
Pompeii,"
February 18, 2014 (2014-02-18) (Buenos Aires)
February 21, 2014 (2014-02-21) (North America)
February 27, 2014 (2014-02-27) (Germany)
",$80–100 million,1,1,2014,100000000,2/27/2014,100000000,100000000
The Purge: Anarchy,"
July 18, 2014 (2014-07-18)
",$9–11 million,1,1,2014,11000000,7/18/2014,11000000,11000000
The Boxtrolls,"
August 31, 2014 (2014-08-31) (Venice)
September 12, 2014 (2014-09-12) (United Kingdom)
September 26, 2014 (2014-09-26) (United States)
",$60 million,1,1,2014,60000000,9/26/2014,60000000,60000000
Horrible Bosses 2,"
November 12, 2014 (2014-11-12) (London)
November 26, 2014 (2014-11-26) (United States)
",$42–57 million,1,1,2014,57000000,11/26/2014,57000000,57000000
Transcendence,"
April 10, 2014 (2014-04-10) (New York City)
April 18, 2014 (2014-04-18) (United States)
",$100–150 million,1,1,2014,150000000,4/18/2014,150000000,150000000
Heaven Is for Real,"
April 16, 2014 (2014-04-16)
",$12 million,1,1,2014,12000000,4/16/2014,12000000,12000000
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","
October 6, 2014 (2014-10-06) (El Capitan Theatre)
October 10, 2014 (2014-10-10) (United States)
",$28 million,1,1,2014,28000000,10/10/2014,28000000,28000000
Tammy,"
July 2, 2014 (2014-07-02)
","
$20 million (gross)
$16.4 million (net)
",1,1,2014,4000000,7/2/2014,16400000,16400000
The Book of Life,"
October 12, 2014 (2014-10-12) (L.A. Live)
October 17, 2014 (2014-10-17) (United States)
",$50 million,1,1,2014,50000000,10/17/2014,50000000,50000000
Ode to My Father,"
17 December 2014 (2014-12-17)
 (South Korea)",US$30 million,1,1,2014,30000000,12/17/2014,30000000,30000000
Paranormal Activity: The Marked Ones,"
January 3, 2014 (2014-01-03) (United States)
",$5–9.2 million,1,1,2014,2000000,1/3/2014,9200000,9200000
Deliver Us from Evil,"
5 August 2020 (2020-08-05)
",$11 million,1,1,2020,11000000,8/5/2020,11000000,11000000
Deliver Us from Evil,"
5 August 2020 (2020-08-05)
",$11 million,1,1,2020,11000000,8/5/2020,11000000,11000000
A Million Ways to Die in the West,"
May 16, 2014 (2014-05-16) (Regency Village Theatres)
May 30, 2014 (2014-05-30) (United States)
",$40 million,1,1,2014,40000000,5/30/2014,40000000,40000000
Step Up All In,"
July 9, 2014 (2014-07-09) (Belgium)
August 8, 2014 (2014-08-08) (United States)
",$35 million[citation needed],1,1,2014,35000000,8/8/2014,35000000,35000000
John Wick,"
May 9, 2019 (2019-05-09) (Brooklyn)
May 17, 2019 (2019-05-17) (United States)
",$75 million,1,1,2019,75000000,5/17/2019,75000000,75000000
The Judge,"
September 4, 2014 (2014-09-04) (TIFF)
October 10, 2014 (2014-10-10) (United States)
",$45–50 million,1,1,2014,50000000,10/10/2014,50000000,50000000
Gone with the Bullets,"
December 18, 2014 (2014-12-18)
",300 million yuan  (US$48.8 million),1,1,2014,8000000,12/18/2014,48800000,48800000
Muppets Most Wanted,"
March 11, 2014 (2014-03-11) (El Capitan Theatre)
March 21, 2014 (2014-03-21) (United States)
",$50 million,1,1,2014,50000000,3/21/2014,50000000,50000000
Spanish Affair,"
14 March 2014 (2014-03-14)
",US$3 million,1,1,2015,3000000,3/14/2014,3000000,3000000
If I Stay,"
August 18, 2014 (2014-08-18) (New York premiere)
August 22, 2014 (2014-08-22) (United States)
",$11 million,1,1,2014,11000000,8/22/2014,11000000,11000000
"I, Frankenstein","
January 24, 2014 (2014-01-24) (United States)
",$65 million,1,1,2014,65000000,1/24/2014,65000000,65000000
Crimson Peak,"
September 25, 2015 (2015-09-25) (Fantastic Fest)
October 16, 2015 (2015-10-16) (United States)
",$55 million,1,1,2014,55000000,10/16/2015,55000000,55000000
